Frame,FrameTime,Framerate,MemoryUsage(MB)
241,0.006905704,144.8078,396.2064
242,0.006929393,144.3128,396.2072
243,0.007036501,142.1161,396.2079
244,0.007124504,140.3606,396.2086
245,0.006821202,146.6017,396.2094
246,0.006690093,149.4747,396.2101
247,0.007057405,141.6951,396.2108
248,0.0075812,131.9052,396.2115
249,0.006947697,143.9326,396.2123
250,0.006652898,150.3104,396.213
251,0.007387401,135.3656,396.2137
252,0.007383702,135.4334,396.2145
253,0.006816497,146.7029,396.2152
254,0.006991801,143.0247,396.2159
255,0.006735502,148.467,396.2167
256,0.007307703,136.8419,396.2174
257,0.006560601,152.4251,396.2181
258,0.0073,136.9863,396.2189
259,0.007044197,141.9608,396.2196
260,0.007124901,140.3528,396.2203
261,0.006701602,149.2181,396.2211
262,0.007309396,136.8102,396.2218
263,0.006730102,148.5862,396.2225
264,0.0068527,145.9279,396.2233
265,0.007386402,135.3839,396.224
266,0.0070714,141.4147,396.2247
267,0.006853295,145.9152,396.2255
268,0.007112004,140.6073,396.2262
269,0.007292801,137.1215,396.2269
270,0.007126495,140.3214,396.2277
271,0.006729202,148.606,396.2284
272,0.006620699,151.0415,396.2291
273,0.007611104,131.387,396.2299
274,0.006579896,151.9781,396.2306
275,0.0067813,147.4644,396.2313
276,0.007502402,133.2906,396.2321
277,0.006710197,149.0269,396.2328
278,0.007229202,138.3279,396.2335
279,0.006875,145.4545,396.2343
280,0.006783199,147.4231,396.235
281,0.006986302,143.1372,396.2357
282,0.008127197,123.0437,396.2365
283,0.01075731,92.96008,396.2372
284,0.008270997,120.9044,396.2379
285,0.0193505,51.67825,396.2386
286,0.005153097,194.0581,396.2394
287,0.0075286,132.8268,396.2401
288,0.006782299,147.4426,396.2408
289,0.007024504,142.3588,396.2416
290,0.006685098,149.5864,396.2423
291,0.007165802,139.5517,396.243
292,0.007220196,138.5004,396.2438
293,0.007155301,139.7565,396.2445
294,0.006717801,148.8582,396.2452
295,0.007306505,136.8643,396.246
296,0.006564895,152.3254,396.2467
297,0.007436302,134.4754,396.2474
298,0.007231697,138.2801,396.2482
299,0.006726006,148.6766,396.2489
